"title","wodRaw","url","cleanID"
"Thursday 250911","**Rest Day**


[Why CrossFit Trainers Are Among the Best-Prepared in Fitness](https://www.crossfit.com/essentials/crossfit-trainers-most-prepared)


What separates a CrossFit trainer from the countless fitness professionals out there? It's access to the industry's most comprehensive three-tier education system that transforms good trainers into exceptional coaches through rigorous hands-on instruction, meticulous movement analysis, and real-world application. From mastering fundamental movement patterns in the Level 1 to developing elite coaching skills in Level 2, CrossFit's educational pathway ensures that when you step into an affiliate, you're getting guidance from some of the best-trained fitness professionals in the industry.

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)
","https://www.crossfit.com/250911",20250911
"Wednesday 250910","4 rounds for time of:  
10 triple-unders  
20 chest-to-bar pull-ups   
30 wall-balls shots


♀ 14-lb medicine ball to a 9-foot target  
♂ 20-lb medicine ball to a 10-foot target


**Stimulus and Strategy:**  
Today’s workout is a combination of skills. The triple-under is meant to be the higher-skill challenge, so choose a movement that allows you to focus on a skill before moving on to the lower-skill exercises. For the pull-ups, choose an option that allows you to maintain consistent sets of 5 reps. The wall-ball shots are meant to be completed in larger chunks, and the easiest of the three movements.


**Scaling:**  
Reduce the reps of each movement. Reduce the loading of the medicine ball. 
 
To reduce the complexity of triple-unders, consider double-unders or single-unders. Other variations may also be practiced; for example, crossovers, or one-foot single-unders or double-unders. For the chest-to-bar pull-ups, reduce the range of motion to chin-over-bar pull-ups or jumping pull-ups. 
 
In case of injury or limitation, for the triple-unders, perform penguin taps. For the chest-to-bar pull-ups, perform ring rows. For the wall-ball shots, perform medicine-ball front squats for an overhead limitation, or medicine-ball push presses for a squatting limitation. 
 
**Intermediate option:**    
4 rounds for time of:  
10 **single-leg double-unders**  
20 **pull-ups**   
30 wall-balls shots


♀ **10**-lb medicine ball to a 9-foot target  
♂ **14**-lb medicine ball to a 10-foot target


**Beginner option:**   
**3** rounds for time of:  
10 **single**-unders  
**15 ring rows**   
**20** wall-balls shots 
 

♀ **6**-lb medicine ball to a 9-foot target  
♂ **10**-lb medicine ball to a 10-foot target


**Coaching cues:**  
For the triple-unders, spin fast from the wrists, not the shoulders — stay tall and punch your toes down as you jump.

**Resources:**    
[Triple-Unders](https://youtu.be/OSMvoZnh_ng?si=vxdoYK_jT1Zzy2X1)  
[The Chest-to-Bar Pull-Up](https://www.crossfit.com/essentials/the-kipping-chest-to-bar-pull-up)  
[The Wall-Ball Shot](https://www.crossfit.com/essentials/the-wall-ball)  
[The Kipping Pull-Up](https://www.crossfit.com/essentials/the-kipping-pull-up)  
[The Single-Under](https://www.crossfit.com/essentials/the-single-under)  
[The Ring Row](https://www.crossfit.com/essentials/the-ring-row)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250910",20250910
"Tuesday 250909","Every minute on the minute, alternating, for 12 minutes, complete:  
Odd minutes: 10 unbroken deadlifts  
Even minutes: 7 shuttle runs (25 feet out and 25 feet back)


Choose your load for the deadlift.


Post loads of the deadlifts to comments.


**Stimulus and Strategy:**  
Today’s workout is an opportunity to go heavy with an elevated heart rate. The loading on the barbell is completely up to you — the only caveat is that each set of 10 needs to be unbroken. You can choose to stick with one weight for all sets or increase the loading across as many sets as possible.


**Scaling:**  
Reduce the reps of both the deadlift and shuttle runs. 
 
To reduce the complexity of the deadlifts, perform sumo deadlifts. This will allow you to maintain a more upright position and eliminate the need to navigate the knees. 
 
In case of injury or limitation, for the deadlifts, reduce the range of motion by elevating the barbell off the ground or perform kettlebell sumo deadlifts. For the shuttle runs, perform 7-10 calories on any machine (about 30 seconds of effort). 
 
**Intermediate option:**  
Every minute on the minute, alternating, for 12 minutes, complete:  
Odd minutes: 10 unbroken deadlifts  
Even minutes: **5** shuttle runs (25 feet out and 25 feet back)


Choose your load for the deadlift.


**Beginner option:**   
Every minute on the minute, alternating, for 12 minutes, complete:  
Odd minutes: **5** unbroken deadlifts  
Even minutes: **3** shuttle runs (25 feet out and 25 feet back)


Choose your load for the deadlift.


**Coaching cues:**  
When cycling deadlifts, focus on initiating the descent of each rep by pushing the hips back so the bar path is moving in a straight line down.


**Resources:**    
[The Deadlift](https://www.crossfit.com/essentials/the-deadlift)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250909",20250909
"Monday 250908","For time:  
1-minute handstand hold  
50 AbMat sit-ups  
1-minute handstand hold  
40 AbMat sit-ups  
1-minute handstand hold  
30 AbMat sit-ups  
1-minute handstand hold  
20 AbMat sit-ups  
1-minute handstand hold  
10 AbMat sit-ups  


Post time to comments.


**Stimulus and Strategy:**  
Today’s workout is a midline clash. Expect the two movements to interfere with each other, and the accumulation of volume will make this effort more challenging. With that in mind, choose an option for the handstand hold that allows you to consistently hold for 20 seconds or more. The prescribed variation of the handstand should be completed with your back to the wall.


**Scaling:**  
Reduce the time of the handstand holds and the reps of the AbMat sit-ups. 
 
To reduce the complexity of the handstand holds, perform pike holds with your feet on a box or with your feet on the ground.
In case of injury or limitation, for the handstand holds, perform plank holds. For the AbMat sit-ups, perform feet-anchored sit-ups. 
 
**Intermediate option:**  
For time:  
**30-second** handstand hold  
50 AbMat sit-ups  
**30-second** handstand hold  
40 AbMat sit-ups  
**30-second** handstand hold  
30 AbMat sit-ups  
**30-second** handstand hold  
20 AbMat sit-ups  
**30-second** handstand hold  
10 AbMat sit-ups


**Beginner option:**   
For time:  
**30-second pike hold**  
**12** AbMat sit-ups  
**30-second pike hold**  
**12** AbMat sit-ups  
**30-second pike hold**  
**12** AbMat sit-ups  
**30-second pike hold**  
**12** AbMat sit-ups  
**30-second pike hold**  
**12** AbMat sit-ups


**Coaching cues:**  
When you are holding the handstand, press through your hands, squeeze your triceps, and brace your midsection.


**Resources:**  
[The Handstand](https://www.crossfit.com/essentials/freestanding-handstand)  
[The AbMat Sit-Up](https://www.crossfit.com/essentials/the-abmat-sit-up)  
[Handstand Hold Progressions](https://youtu.be/8Fdyew622mg)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250908",20250908
"Sunday 250907","**Rest Day**


[From Reluctant Kids to CrossFit Coaches: How CrossFit Shaped Two Lives Over Nine Years](https://youtu.be/7fyc_v52bGw)


What happens when an 8-year-old gets scared of CrossFit but comes back at 14? And when an 11-year-old gets a one-month membership to try it out? Ben and Priya share their incredible nine-year journey from reluctant middle schoolers to confident college students who now coach CrossFit themselves.

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250907",20250907
"Saturday 250906","For time:  
25 power snatches  
25-calorie Echo bike  
25 power snatches  
25-calorie Echo bike  
25 power snatches  


♀ 55-lb barbell  
♂ 75-lb barbell


Post time to comments.


**Stimulus and Strategy:**  
Today’s workout is a play on the classic Hero workout Randy. Attack this effort just as you would any Hero workout. You should sprint right from the start — complete as many touch-and-go snatches as you can, and race through the calories on the bike. Don’t try to game the workout or pace it. Push the pedal to the floor and hang on. The loading of the barbell is light, so make sure you choose a weight with which you can perform 1 or 2 sets of 15 unbroken reps.


**Scaling:**  
Reduce the load of the barbell. Reduce the reps of the snatches and the calories on the bike. 
 
To reduce the complexity of the power snatches, consider hang power snatches or muscle snatches. 
 
In case of injury or limitation, for the power snatches, perform dumbbell snatches or consider power cleans if there is an overhead limitation. For the bike, substitute any machine you have available. If you have no machines, perform 12 50-foot shuttle runs (25 feet out and 25 feet back). 
 
**Intermediate option:**  
For time:  
25 power snatches  
**20**-calorie Echo bike  
25 power snatches  
**20**-calorie Echo bike  
25 power snatches  


♀ **45**-lb barbell  
♂ **65**-lb barbell


**Beginner option:**   
For time:  
**15** power snatches  
**15**-calorie Echo bike  
**15** power snatches  
**15**-calorie Echo bike  
**15** power snatches  


♀ **35**-lb barbell  
♂ **45**-lb barbell


**Coaching cues:**  
On the return of the barbell on the power snatches, remember to pull your chest up and lower your hips as you lower the barbell to the ground. As you fatigue, avoid bending at the hips and rounding your back.


**Resources:**    
[The Power Snatch](https://www.crossfit.com/essentials/the-power-snatch)  
[Rogue Echo Bike](https://www.roguefitness.com/rogue-echo-bike?srsltid=AfmBOooBa_msKymC_zR666YnuOCgeD3OPgqPmYW4GW2gdGKLf-E9bJpI)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250906",20250906
"Friday 250905","3 rounds for time of:  
10 ring muscle-ups  
20 alternating weighted single-leg squats  
400-meter run


♀ 20-lb dumbbell  
♂ 35-lb dumbbell


Post time to comments.


**Stimulus and Strategy:**  
Today's workout is a triplet that combines higher-skill elements with a monostructural movement. The weighted single-leg squat presents a slightly greater challenge compared to the unloaded variation; however, using the weight as a counterbalance may allow for better torso positioning during the movement. With that said, if you have not “mastered” the basic single-leg squat, do not attempt to add weight in today’s workout. Get in some practice with the weighted variation prior to the workout, but when it is go time, perform the movement unloaded. For the ring muscle-ups, choose an option that allows you to complete your reps in 2 minutes or less each round. On the run, push the pace if your “wobbly” legs let you.


**Scaling:**  
Reduce the load of the dumbbell. Reduce the reps of the ring muscle-ups and single-leg squats. Reduce the distance of the run. 
 
To reduce the complexity of the ring muscle-ups, perform jumping muscle-ups or a low-ring transition. For the weighted single-leg squats, perform these with no weight. You may also consider single-leg squats with your non-squatting foot wrapped around the heel of your squatting foot. 
 
In case of injury or limitation, for the run, complete 900/1,250 meters on the Echo bike, or 400/500 meters on the rower or ski erg. For the single-leg squats, consider a reverse lunge or an air squat. For the ring muscle-ups, consider a ring row + a push-up. 
 
**Intermediate option:**  
3 rounds for time of:  
**5 jumping** muscle-ups  
20 alternating **single-leg squats**  
400-meter run


**Beginner option:**   
3 rounds for time of:  
**5 low-ring muscle-up transitions**  
20 alternating **reverse lunges**  
**200**-meter run  


**Coaching cues:**  
When performing muscle-ups, avoid dropping straight down from the rings after a successful rep. This will break your kip rhythm and prevent you from stringing reps together. Instead, press away from the rings at the top, counterbalancing with your toes in front of the rings, before moving into the kip for your next rep. 




**Resources:**   
[The Kipping Ring Muscle-Up](https://www.crossfit.com/essentials/the-kipping-muscle-up)  
[Pose Running Drills | Lean and Pull](https://youtu.be/9R-3UT1Vd9o)  
[Low-Ring Muscle-Up Transition](https://www.youtube.com/watch?v=A5TANoo0tMU)  
[Ring Muscle-Up Scaling](https://youtu.be/kQVOD7wPIns)  
[The Single-Leg Squat](https://www.crossfit.com/essentials/the-single-leg-squat)  
[Single-Leg Squat Scaling](https://youtu.be/mdivFgpqgK4)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250905",20250905
"Thursday 250904","**Rest Day**


[CrossFit Means Failure](https://www.crossfit.com/essentials/crossfit-means-failure)


CrossFit doesn’t just challenge your body — it rewires how you view success and failure. In this brutally honest (and strangely motivating) piece, we explore why CrossFit never gets easier, how failure becomes your most powerful coach, and why falling short might be the greatest victory of all. Ready to get uncomfortable? Read on.

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250904",20250904
"Wednesday 250903","Complete as many rounds and reps as possible in 10 minutes of:  
5 toes-to-bars  
3 sandbag over-the-shoulders  
1 wall walk

♀ 100-lb sandbag  
♂ 150-lb sandbag


Post rounds and reps to comments.


**Stimulus and Strategy:**  
Each set of today’s workout contains a low volume of reps to allow you to cycle through quick rounds. Choose an option for the toes-to-bars that allows you to maintain unbroken reps for the entire workout. The loading of the sandbag should allow you to complete your reps in around 30 seconds. Your goal should be to complete 6 rounds or more. More-advanced athletes may be able to perform a single round in under a minute and hold that pace for the entire workout.


**Scaling:**  
Reduce the load of the sandbag.

To reduce the complexity of the toes-to-bars, reduce the range of motion by bringing the knees to the chest or a consistent height on the body. For the wall walks, reduce the range of motion by walking your hands only a few steps toward the wall.

In case of injury or limitation, perform power cleans with a single dumbbell or barbell instead of sandbag over-the-shoulders. Perform V-ups or sit-ups in place of the toes-to-bars, and inchworms with a push-up in place of the wall walks.
   
**Intermediate option:**  
Complete as many rounds and reps as possible in 10 minutes of:  
5 **knees-to-chests**  
3 sandbag over-the-shoulders  
1 wall walk

♀ **70**-lb sandbag  
♂ **100**-lb sandbag


**Beginner option:**   
Complete as many rounds and reps as possible in 10 minutes of:  
5 **hanging knee raises**  
3 **single-arm dumbbell power cleans**  
1 **inchworm + push-up from the knees**


Switch arms on the cleans as needed.

♀ **25**-lb dumbbell  
♂ **35**-lb dumbbell


**Coaching cues:**  
When pulling the sandbag off the ground, get your hands underneath the bag and squat down as low as possible. Lift the bag to your thighs, bear-hug it, then with the bag held tight to your chest, extend your hips and legs aggressively, and throw the bag over your shoulder.

**Resources:**  
[The Kipping Toes-to-Bar](https://www.crossfit.com/essentials/the-kipping-toes-to-bar)  
[Sandbag Training](https://games.crossfit.com/article/sandbag-training)  
[DIY Sandbag](https://www.crossfit.com/at-home/diy-sandbag)  
[The Wall Walk](https://www.crossfit.com/essentials/the-wall-walk)  
[Kipping Hanging Knee Raises](https://youtu.be/G6ycYQ1bNG0)  
[Inchworm + Push-Up From the Knees](https://youtu.be/rC8sMk5WgA4)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)
","https://www.crossfit.com/250903",20250903
"Tuesday 250902","21-18-15-12-9-6-3 reps for time of:   
Bench presses  
Box jump-overs


♀ 105-lb barbell and a 24-inch box  
♂ 155-lb barbell and a 30-inch box


Post time to comments.


**Stimulus and Strategy:**  
Today’s workout contains two movements that seemingly have nothing to do with one another. However, bench pressing is more challenging when out of breath — expect the box jump-overs to throw a wrench into today’s effort. Use a weight for the bench presses that allows you to perform consistent sets of 5 reps or more. On the box jump-overs, manage your pace based on your capacity on the bench. If you do not have a spotter available, do not push to failure on the bench presses. Stick with a rep scheme you can manage and stay safe.


**Scaling:**  
Reduce the load of the barbell. Reduce the reps of each movement. 
 
To reduce the complexity of the bench presses, consider using a pair of dumbbells instead of the barbell. For the box jump-overs, reduce the height of the box as low as necessary to maintain the jumping stimulus of the movement. 
 
In case of injury or limitation, for the bench presses, consider dumbbell floor presses, weighted push-ups, or unloaded push-ups. For the box jump-overs, consider box step-overs. 
 
**Intermediate option:**  
21-18-15-12-9-6-3 reps for time of:   
Bench presses  
Box jump-overs


♀ **75**-lb barbell and a **20**-inch box  
♂ **115**-lb barbell and a **24**-inch box


**Beginner option:**   
**15-12-9-6-3** reps for time of:   
Bench presses  
Box **step**-overs


♀ **35**-lb barbell and a **12**-inch box  
♂ **45**-lb barbell and a **20**-inch box


**Coaching cues:**  
As you are performing the bench press, drive the bar up and back, keeping your wrists stacked and elbows under the bar.


**Resources:**  
[The Bench Press](https://www.crossfit.com/essentials/the-bench-press)  
[Box Jump-Over Variations](https://youtu.be/4o2duvMXo1Y)

**Find a gym near you:**  
[View the CrossFit map](https://www.crossfit.com/map?utm_source=owned&utm_medium=internal&utm_campaign=mswod)","https://www.crossfit.com/250902",20250902
